name,price,listings
Heroic Flying Desolation,$ 0.84,7 on sale
Heroic Back of the Cryogenic Embrace,$ 1.05,1 on sale
Heroic Dreaded Bravo's Cape,$ 1.41,2 on sale
Heroic Bonedress of the Yuwipi,$ 4.72,3 on sale
Heroic Cap of the Fungal Lord,$ 1.25,8 on sale
Inscribed Staff of the Fungal Lord,$ 1.57,1 on sale
Mystic Coils Antennae,$ 0.53,2 on sale
Autographed Death Ward of the Foreteller's Oath,$ 2.36,2 on sale
Autographed Gauntlet of the Treacherous Demon,$ 0.79,1 on sale
Auspicious Wise Cap of the First Light,$ 0.47,2 on sale
Autographed Baekho,$ 2.99,5 on sale
Autographed Grievous Ingots,$ 1.41,1 on sale
Frozen Blades of Malicious Efflorescence,$ 1.4,1 on sale
Autographed Pauldrons of Vile Reliquary,$ 2.99,2 on sale
Autographed Mantle of Vile Reliquary,$ 3.62,2 on sale
Autographed Blackshield Protodrone Armor,$ 1.89,3 on sale
Inscribed Bracers of the Sunken Gaoler,$ 0.79,3 on sale
Heroic Augur's Hair,$ 1.26,2 on sale
Inscribed Powdersled Rookerya Sign,$ 0.47,2 on sale
Inscribed Stinger,$ 0.29,2 on sale
Heroic Sylnashar the Winged Axe,$ 2.36,5 on sale
Inscribed Death Ward of the Foreteller's Oath,$ 0.61,4 on sale
Heroic Bessy the Batmeleon,$ 1.3,5 on sale
Autographed Pride of the Crew,$ 0.71,2 on sale
Helm of Heavenly Light,$ 0.26,3 on sale
Cursed Plackart of the Demon Stone,$ 0.31,2 on sale
Autographed Gloves of the Hunt Eternal,$ 3.14,1 on sale
Autographed Shoulders of the Comet's Tail,$ 0.61,1 on sale
Heroic Trophy of the Shadowcat,$ 2.36,3 on sale
Inscribed A Dire Gaze,$ 1.57,2 on sale
Autographed Catastrophe,$ 0.39,10 on sale
Inscribed Belt of Vile Convocation,$ 3.93,3 on sale
Inscribed Chains of Vile Convocation,$ 1.79,3 on sale
Frozen Porcine Princess Penelope,$ 1.57,1 on sale
Autographed Headwraps of the Acolyte of Clasz,$ 0.77,2 on sale
Inscribed Chieftain Headdress of the West,$ 0.79,1 on sale
Gear Tooth,$ 0.79,1 on sale
Heroic Spectral Light,$ 1,6 on sale
Heroic Birot's Helm of Dignity,$ 0.4,5 on sale
Autographed Katar of Omen's Embrace,$ 2.5,1 on sale
Autographed Servants of Endless Stars,$ 0.55,2 on sale
Inscribed Plagueroad Apothacary Back,$ 0.47,2 on sale
Inscribed Spellbinder's Mask of Shaping,$ 1.57,2 on sale
Heroic Primal Form of the Tentacular Timelord,$ 0.97,5 on sale
International 2019 Autograph: Du 78 Junnan,$ 0.44,2 on sale
2015 MarsTV Dota 2 League,$ 1.04,1 on sale
Despair Emoticon Pack,$ 0.92,3 on sale
Charge of the Tundra Warden,$ 6.39,2 on sale
Autographed Wings of the Saccharine Saboteur,$ 3.14,1 on sale
Autographed Shadow in the Deep Dagger,$ 1.73,3 on sale
Inscribed Frostreach Brigands Hat,$ 0.61,2 on sale
Heroic Compass Edge of the Voyager,$ 3.93,3 on sale
Heroic Sacred Orb Helm,$ 4.72,5 on sale
Inscribed Carved Grin of the Trickster,$ 0.55,1 on sale
Heroic Roshan Hunter Back,$ 1.46,2 on sale
International 2018 Autograph: Jin 'zhizhizhi' Zhiyi,$ 2.08,2 on sale
Heroic Noriet the Dusky Guardian,$ 0.95,7 on sale
Heroic Phasma Phasmatis Shoulders,$ 1.26,5 on sale
Inscribed Style of the Night Grove,$ 0.63,3 on sale
Heroic Crystalline Initio,$ 1.57,10 on sale
Auspicious Tribal Megadon Mask,$ 4.7,1 on sale
Auspicious Spade of the Gluttonous,$ 4.68,1 on sale
Autographed Candy Cat Off-Hand,$ 2.98,1 on sale
Inscribed Skip the Delivery Frog,$ 1.34,3 on sale
Corrupted Mask of the Divine Sorrow,$ 8.49,3 on sale
Heroic Staff of the Yuwipi,$ 0.29,9 on sale
Inscribed Oaths of the Dragonborn Shoulders,$ 2.36,1 on sale
Frozen Throe,$ 0.2,2 on sale
Inscribed Belt of the Red Mountain,$ 0.78,3 on sale
Inscribed Ruan of Blossoming Harmony,$ 1.41,2 on sale
Autographed Vest of the Bloodroot Guard,$ 0.85,3 on sale
Autographed Wings of the Foulfell Corruptor,$ 1.73,5 on sale
Autographed Axe of the Shattered Vanguard,$ 3,3 on sale
Inscribed Chasm of the Broken Code Demon,$ 1.18,4 on sale
Autographed Bracers of the Fervent Conscript,$ 0.39,1 on sale
Inscribed Belt of Teardrop Ice,$ 1.28,3 on sale
Autographed Top Hat of the Steam Chopper,$ 2.96,1 on sale
Inscribed Scions of the Sky,$ 1.16,4 on sale
Heroic Starlight Armguards,$ 1.1,3 on sale
Autographed Belt of the Chainbreaker,$ 2.36,1 on sale
Inscribed Hermes the Hermit Crab,$ 0.16,3 on sale
Hallowed Horde,$ 0.36,2 on sale
Autographed Trove Carafe 2017 Autographed by Zhang 'LaNm' Zhicheng,$ 6.26,3 on sale
International 2015 Autograph: William 'Chobra' Cho,$ 0.28,1 on sale
Heroic Braid of Delicacies of Butchery,$ 0.79,2 on sale
Heroic Dreadknight Blade,$ 2.04,2 on sale
Heroic Helm of the Dark Wraith,$ 1.26,6 on sale
Heroic Nether Grandmaster's Waistcloth,$ 0.25,4 on sale
Heroic Paws of the Shadowcat,$ 1.61,3 on sale
Autographed Guard of the Rekindled Ashes,$ 2.36,1 on sale
Autographed Cape of the Year Beast,$ 2.36,1 on sale
Inscribed Bow of the Wyvern Skin,$ 0.16,3 on sale
Inscribed Finery of the Storm Djinn,$ 0.5,2 on sale
Inscribed Armlet of the Wrathrunner,$ 0.39,2 on sale
Inscribed Fury of the Damned Mask,$ 2.39,1 on sale
Autographed Armor of Cruel Reprisal,$ 1.55,2 on sale
Inscribed Iceplain Ravager Belt,$ 2.67,1 on sale
Autographed Mantle of the Witch Hunter Templar,$ 1.72,2 on sale
Auspicious Heavenly Guardian Skirt,$ 4.8,2 on sale
Inscribed Helm of Big 'Un,$ 1.14,3 on sale
Inscribed Commander's Cape of the Flameguard,$ 1.52,2 on sale
Auspicious Sapphire Sabre-Lynx,$ 1.97,3 on sale
Heroic Sigil Mask of the Bladekeeper,$ 6.29,6 on sale
Inscribed Verdant Coif,$ 0.81,1 on sale
International 2017 Autograph: Dmitriy 'LighTofHeaveN' Kupriyanov,$ 2.99,3 on sale
Genuine Tail of the Scouring Dunes,$ 0.93,3 on sale
Inscribed Mask of the Soul Keeper,$ 0.79,1 on sale
Corrupted Baby Roshan,$ 7.68,4 on sale
Heroic Roshan Hunter Belt,$ 4.72,5 on sale
Inscribed Artisan of Havoc Helmet,$ 1.1,1 on sale
Inscribed Clock Master's Helmet,$ 2.64,1 on sale
Autographed Dressed Pauldron of the Flameguard,$ 0.8,1 on sale
Inscribed Lord of Northwarden Shoulder,$ 4.38,1 on sale
Cursed Crimson Wyvern Sword,$ 8.44,1 on sale
Inscribed Whispers of the Damned Tail,$ 2.67,1 on sale
Inscribed Arms of the Monument of Ruin,$ 0.69,2 on sale
Autographed Bracers of the Red Sands,$ 2.98,1 on sale
Autographed Helm of the Narrow Fates,$ 0.77,3 on sale
Autographed Hat of the Witch Hunter Templar,$ 3.77,5 on sale
Autographed Stryff the Owlion,$ 0.39,1 on sale
Heroic Pauldron of the Nimble Edge,$ 0.93,11 on sale
Frozen Mega-Kills: Lina,$ 5.5,1 on sale
Inscribed Scowl of the Lost Star,$ 1.57,2 on sale
Genuine Autograph: Wang 'Sansheng' Zhaohui,$ 3.66,2 on sale
Inscribed Belt of Glorious Inspiration,$ 0.63,1 on sale
Heroic Shoulders of the Arsenal Magus,$ 2.83,9 on sale
Shambling Trickster Loading Screen,$ 0.18,2 on sale
Autographed Wavecutter,$ 2.67,5 on sale
Inscribed Belt of Depraved Malformation,$ 2.39,1 on sale
Heroic Arms of Deep Magma,$ 0.42,9 on sale
Cloak of the Master Thief,$ 7.86,1 on sale
Inscribed Honor of the Temple of the Fallen Sun,$ 2.2,3 on sale
Inscribed Crown of Prismatic Grace,$ 0.4,1 on sale
Inscribed Wings of the Arctic Recluse,$ 2.39,1 on sale
Autographed Pauldrons of Sacred Light,$ 2.2,1 on sale
Heroic War Blade - Off-Hand,$ 0.77,1 on sale
Heroic Lost Hills Bow,$ 4.09,3 on sale
Heroic Jewel of Futures Foretold,$ 0.79,5 on sale
Heroic Emerald Frenzy Spikes,$ 0.79,2 on sale
Heroic Cold Case Bow,$ 1.57,5 on sale
Heroic Death Mask of the Conquering Tyrant,$ 1.18,10 on sale
Autographed Desert Burn Outfit,$ 5.97,1 on sale
Autographed Desert Burn Crossbow,$ 7.86,1 on sale
Heroic Sacred Orb Carapace,$ 0.79,5 on sale
Inscribed Sinner's Embrace,$ 2.51,1 on sale
Inscribed Wingbelt of the Wildwing's Blessing,$ 1.57,2 on sale
Autographed Horned Mother,$ 1.57,2 on sale
Heroic Horns of Blight,$ 0.3,3 on sale
Inscribed Rattlebite,$ 0.34,2 on sale
Hyeonmu Upgrade Style 04,$ 1.57,1 on sale
Corrupted Portal,$ 5.5,3 on sale
Shambling Trickster Mask,$ 0.69,3 on sale
Auspicious Ringblade,$ 1.57,1 on sale
Autograph: Mushi,$ 4.35,3 on sale
Inscribed Artisan of Havoc Hook,$ 1.26,1 on sale
Inscribed Wooden Fetish Mask,$ 0.31,3 on sale
Autograph: @KawaDota,$ 5.5,1 on sale
Inscribed Noble and Imperial Pride,$ 1.25,2 on sale
Inscribed Crescent Shoulder,$ 1.57,1 on sale
Ethereal: Crystal Rift,$ 4.09,5 on sale
Inscribed Stone Bound Watcher,$ 0.56,1 on sale
Genuine Saw of the Tree Punisher,$ 0.16,1 on sale
Corrupted Magus Apex,$ 5.97,6 on sale
Inscribed Sentinels of the Urushin Huntsman,$ 0.49,5 on sale
Inscribed Helm of the Rain Forest Refugee,$ 1.57,2 on sale
Inscribed Hat of the Stormcharge Dragoon,$ 4.34,2 on sale
Heroic Mysterious Vagabond's Hat,$ 0.52,3 on sale
Inscribed Blades of the Loyal Fold,$ 2.44,2 on sale
Mystic Coils Loading Screen,$ 2.36,3 on sale
Heroic Ironwood Arms of the Fungal Lord,$ 1.73,3 on sale
Heroic Totem of Deep Magma,$ 7.07,9 on sale
Heroic Flags of the Equine Emissary,$ 0.94,7 on sale
Heroic Gauntlets of the Equine Emissary,$ 1.41,5 on sale
Inscribed Kitestar Splendor Beak,$ 0.85,3 on sale
Genuine Dolfrat and Roshinante,$ 1.87,5 on sale
Inscribed Tail of the Ferocious Toxicant,$ 0.47,3 on sale
Autographed Hood of the Twin Blades,$ 2.36,1 on sale
Autographed Virtus Werebear,$ 0.39,2 on sale
Inscribed Prodigy of Prefectura - Head,$ 1.41,1 on sale
Autographed Legs of the Ironclad Mold,$ 2.38,1 on sale
Inscribed Talon Edge,$ 1.57,1 on sale
Auspicious Gloves of the Master Thief,$ 0.63,1 on sale
Heroic Dead Winter Sash,$ 0.63,4 on sale
Heroic Bow of Forsaken Beauty,$ 1.25,4 on sale
Heroic Bow of the Shadowcat,$ 0.79,1 on sale
Hyeonmu Upgrade Style 05,$ 1.57,2 on sale
Corrupted Andalmere the Litigon,$ 3.52,1 on sale
Hyeonmu Upgrade Style 13,$ 7.07,1 on sale
Genuine Autograph: Zhang 'LaNm' Zhicheng,$ 7.81,1 on sale
Corrupted Wrap of the Shifting Sorcerer,$ 7.87,1 on sale
Autographed Formed Alloy Pauldrons,$ 0.25,1 on sale
Autographed Arms of the Dark Reservoir,$ 0.94,3 on sale
Inscribed Cannonade,$ 1.57,2 on sale
Cursed Celestial Observatory,$ 2.48,1 on sale
Cursed Cloak of the Dawn,$ 5.47,1 on sale
Autographed Araceae's Tribute Necklace,$ 2.36,1 on sale
Autographed Belt of the Dragon's Disciple,$ 0.75,2 on sale
Auspicious Shattered Axe of the Vanquished,$ 3.13,3 on sale
Lil' Nova,$ 0.54,3 on sale
Autographed Crown of the Rime Lord,$ 0.75,2 on sale
Inscribed Mantle of the Glacial Magnolia,$ 0.47,2 on sale
Frozen Juljae Sword,$ 1.41,3 on sale
Inscribed Infesting Incubator,$ 0.72,1 on sale
Autographed Heavy Butterfly Blades,$ 0.39,2 on sale
Inscribed Desert Burn Cap,$ 6.29,1 on sale
Genuine Pre-Purchase Warhammer: Treasure of the Old World,$ 8.41,7 on sale
Autograph: Lao Dang,$ 0.44,1 on sale
Autographed Scythe of Pestilence,$ 0.78,1 on sale
The Summit 3 Emoticon Pack,$ 1.27,3 on sale
Golden International 2015 Autograph: Aren 'VeRsuta' Zurabyan,$ 8.65,1 on sale
Autograph: Yao 'Yao' Zhengzheng,$ 0.79,4 on sale
Autographed Eul's Scepter of the Magus,$ 1.56,1 on sale
Autographed Pauldrons of the Year Beast,$ 2.19,3 on sale
Autograph: Dakota 'KotLGuy' Cox,$ 0.38,1 on sale
Autograph: Jorien 'Sheever' van der Heijden,$ 0.47,2 on sale
Inscribed Belt of the Chainbreaker,$ 2.36,1 on sale
Inscribed Claws of the Chainbreaker,$ 0.71,4 on sale
International 2016 Autograph: Kuro Salehi 'KuroKy' Takhasomi,$ 4.26,3 on sale
Inscribed Blades of Malicious Efflorescence,$ 1.04,1 on sale
Inscribed Pauldron of the Ocean Conqueror,$ 0.63,2 on sale
Inscribed Helm of Impasse,$ 0.46,1 on sale
Inscribed Domain of the Sleepless Augur,$ 2.51,1 on sale
Autographed The Hallows Within Tombstone,$ 7.55,1 on sale
Autographed Edge of the Flowering Shade,$ 1.57,2 on sale
Inscribed Surly Bogstomper Fishclub,$ 0.78,3 on sale
Autographed Shoulder of the Dark Reservoir,$ 4.24,2 on sale
Inscribed Belt of the Witch Hunter Templar,$ 1.71,2 on sale
Autographed Tail of the Scouring Dunes,$ 2.36,1 on sale
Genuine Tree Punisher,$ 1.56,2 on sale
Inscribed Darktrench Stalker - Misc,$ 4.72,1 on sale
Autographed Spellbinder's Tattered Cloak,$ 2.3,1 on sale
Inscribed Tail of the Elemental Imperator,$ 0.94,3 on sale
Heroic Wings of the Inauspicious Abyss,$ 0.58,6 on sale
Heroic Armour of the Exiled Ronin,$ 0.56,3 on sale
Autographed Off-Hand Weapon of the Forsaken Flame,$ 0.43,3 on sale
Autographed Sword of the Smoldering Sage,$ 2.99,1 on sale
Corrupted Off-Hand Sword of the Smoldering Sage,$ 4.44,2 on sale
Inscribed Belt of the Endless Plane,$ 2.64,1 on sale
Auspicious Lance of the Bramble Lord,$ 5.01,1 on sale
Cursed Prestidigitator's Source of Sorcery,$ 0.69,1 on sale
Autographed Bracers of Malicious Efflorescence,$ 0.31,2 on sale
Inscribed Frostreach Brigands Scarf,$ 0.5,4 on sale
Inscribed Hatchet of the Ghastly Gourmand,$ 0.81,3 on sale
Inscribed Sword of Ascension,$ 0.58,4 on sale
Autographed Lil' Nova,$ 0.88,3 on sale
Autographed Gauntlets of Grim Reformation,$ 1.57,1 on sale
Autograph: 's4' Gustav Magnusson,$ 6.12,1 on sale
Inscribed Tail of the Death Charge,$ 0.88,3 on sale
"Autographed Masked Fey, Lord of Tempests",$ 1.57,1 on sale
Inscribed Lineage Mask of Petaluna,$ 0.94,1 on sale
Inscribed Lineage Gloves of the Hunt Eternal,$ 1.29,2 on sale
Inscribed Lineage Kit of the Hunt Eternal,$ 1.29,1 on sale
Inscribed Lineage Blade of Broken Scale,$ 0.64,3 on sale
Inscribed Lineage Mask of the Hunt Eternal,$ 1.21,2 on sale
Inscribed Lineage Helm of Desolate Conquest,$ 1.57,2 on sale
Autographed Trusty Mountain Yak,$ 1.89,1 on sale
Autographed Grips of Eternal Harvest,$ 6.29,2 on sale
Spetum of the Disciplined,$ 0.63,1 on sale
Auspicious Records of the Eki Bukaw,$ 0.79,1 on sale
Heroic Edge of the Slain Dragon,$ 3.14,6 on sale
Autographed Legacy of a Lost Age - Stegaboar,$ 2.5,1 on sale
Inscribed Eki Bukaw Wand,$ 0.77,1 on sale
Autographed Pholi the Squire,$ 0.58,1 on sale
Autographed Lineage Mount of the Raidforged Rider,$ 2.04,3 on sale
Auspicious Prestidigitator's Oculus,$ 1.55,3 on sale
Inscribed Tail of Twisted Wisdom,$ 2.51,1 on sale
Autographed The Llama Llama,$ 1.56,2 on sale
Inscribed Pauldrons of Retribution,$ 1.57,1 on sale
Inscribed Horns of the Storm Dragon Potente,$ 0.63,1 on sale
International 2018 Autograph: Troels 'syndereN' Nielsen,$ 7.86,1 on sale
Autographed Trove Carafe 2019 Autographed by Helen Xu,$ 3.55,12 on sale
Executioner's Cape,$ 0.47,1 on sale
Heroic Headdress of the Father Spirits,$ 1.26,4 on sale
Corrupted Arc of Manta - Off-Hand,$ 3.99,2 on sale
Autographed Whispers of the Damned Belt,$ 2.2,2 on sale
Inscribed Ainidul the Eternal,$ 0.22,2 on sale
Oblivion Headmaster Helmet,$ 0.3,1 on sale
Heroic Claddish Voyager's True North,$ 0.22,5 on sale
Inscribed Lantern of the Infernal Maw,$ 1.57,6 on sale
Inscribed Belt of the Chaos Chosen,$ 2.39,1 on sale
Inscribed Complete Rose of the Corridan Maestro,$ 3.14,1 on sale
Spectator: Sing,$ 0.39,12 on sale
Inscribed Bogmarch Mask,$ 0.64,4 on sale
Auspicious Bow of the Crystal Caves,$ 3.46,1 on sale
Cursed Falcon's Rise,$ 7.07,1 on sale
Raucous Gatecrasher,$ 1.14,4 on sale
Frozen Gauntlets of the Arsenal Magus,$ 3.6,1 on sale
The Convicts' Trophies,$ 2.31,1 on sale
Autographed Mask of the Freelancer,$ 0.63,2 on sale
Treasure of the Summit's Roost,$ 0.93,2 on sale
Inscribed Plate of the Lightning Lord,$ 0.47,2 on sale
Inscribed Halter of the Clandestine Trail,$ 1.56,2 on sale
Autographed Pauldrons of the Loyal Fold,$ 2.09,4 on sale
Inscribed Legs of the Elusive Destroyer,$ 2.36,1 on sale
Corrupted Baekho,$ 8.63,4 on sale
Ol' Snaggletooth,$ 1.26,1 on sale
Auspicious Burden of the Exiled Ronin,$ 1.57,1 on sale
Autographed Barding of Chimeric Rapport,$ 1.08,2 on sale
Heroic Bobusang's Jacket,$ 0.63,3 on sale
Frozen Spikes of the Master Weaver,$ 1.57,1 on sale
Frozen Whiskers of Entwined Fate,$ 0.16,1 on sale
Cursed Ceremonial Stinger of Qaldin,$ 1.1,2 on sale
International 2015 Autograph: Danil 'Dendi' Ishutin,$ 8.38,3 on sale
Autograph: Henrik 'Admiral Bulldog' Ahnberg,$ 4.23,2 on sale
Genuine Helm of the Fallen Princess,$ 1.09,2 on sale
Autographed Shield of the Silent Edict,$ 2.36,1 on sale
Inscribed Nether Grandmaster's Bracers,$ 2.64,1 on sale
Heroic Starlight Band,$ 5.58,3 on sale
Inscribed Long-Fang the Grey Blade,$ 1.26,1 on sale
Autographed Tail of Curious Coldspell,$ 1.56,2 on sale
Inscribed Quiver of Falconside Armor,$ 2.2,3 on sale
Autographed Gauntlet of the Infernal Rambler,$ 1.26,2 on sale
Auspicious Faulds of the Wandering Demon,$ 2.36,1 on sale
Inscribed Tail of Curious Coldspell,$ 1.39,1 on sale
Inscribed Bracers of the Blueheart Sovereign,$ 2.64,1 on sale
Inscribed Royal Admiral's Bicorne,$ 0.63,2 on sale
Inscribed Confidant of the Saccharine Saboteur,$ 4.23,4 on sale
Inscribed Shard of Vengeance,$ 1.26,2 on sale
Inscribed Bracers of the Frozen Feather,$ 0.47,1 on sale
Heroic Circlet of the Northern Wind,$ 0.79,5 on sale
Inscribed Lineage Bracer of Petaluna,$ 0.31,1 on sale
Heroic Juljae Sword,$ 1.41,4 on sale
Frozen Araceae's Tribute Spear,$ 4.4,1 on sale
Bloom Bounty,$ 6.1,3 on sale
Heroic Blade of the Demonic Vessel,$ 6.6,2 on sale
Inscribed Staff of the Old Doctor,$ 2.64,1 on sale
Eager Greevil,$ 1.39,2 on sale
Genuine Imbued Lockless Luckvase 2016,$ 9.76,3 on sale
Inscribed Guards of the Psion Inquisitor,$ 0.63,2 on sale
Treasure of the Venerable One,$ 2.52,4 on sale
Inscribed Horn of the Rancorous Nemesis,$ 0.94,2 on sale
Autographed Dark Tracer,$ 1.18,3 on sale
Inscribed Lineage Head of the Raidforged Rider,$ 0.72,2 on sale
Autographed Aghanim's Labryinth 2021 HUD,$ 2.3,1 on sale
Auspicious Claddish Voyager's Chestplate,$ 0.16,2 on sale
Auspicious Storm-Stealer's Bracers,$ 1.4,2 on sale
Inscribed The Summit 3 HUD,$ 0.77,3 on sale
Heroic Whip of the Subtle Demon,$ 0.47,5 on sale
Heroic Bo of Bedrock Serenity,$ 0.47,6 on sale
Autographed Girdle of Erupting Wrath,$ 0.54,1 on sale
Autographed Armor of the Hunter's Glory,$ 2.99,1 on sale
Cursed Gemmed Mitre of the Priest Kings,$ 3.14,1 on sale
Cursed Armored Exoskeleton Back,$ 3.93,2 on sale
Corrupted The Barren Vector,$ 5.24,6 on sale
Corrupted The Barren Crown,$ 4.51,5 on sale
Heroic Golden Reel Guardian Helmet,$ 2.83,3 on sale
Heroic Desert Gale Fouchard,$ 0.47,2 on sale
Genuine Promo Redpaw,$ 3.6,3 on sale
Inscribed Temple,$ 3.14,2 on sale
Inscribed Searchlight Helm of the Mechanised Pilgrim,$ 0.77,1 on sale
Inscribed Pretiosa of Putrescense,$ 2.64,1 on sale
Inscribed Buckler of the Bramble Lord,$ 1.57,2 on sale
Inscribed Glaives of the Winged Sentinel,$ 0.45,3 on sale
Inscribed Gifts of the Vanished Isle Arms,$ 0.49,2 on sale
Warlock's Summoning Scroll,$ 1.26,1 on sale
Heroic Amberlight Shawl,$ 0.22,5 on sale
Autographed Devourling,$ 0.38,2 on sale
Heroic Sentinel Bow,$ 0.17,1 on sale
Inscribed Sleeves of Lucid Torment,$ 0.55,3 on sale
Tail of the Spelunker,$ 0.99,1 on sale
Inscribed Helm of the Savage Monger,$ 4.4,6 on sale
Autographed Bracers of the Bladeform Aesthete,$ 2.83,4 on sale
Corrupted Whalehook,$ 9.43,1 on sale
Autographed Grasp of Measureless Ruin,$ 0.65,3 on sale
Inscribed Evil Geniuses HUD,$ 2.83,1 on sale
Inscribed Belt of the Mothbinder,$ 0.47,3 on sale
Inscribed Edge of Extinction Helm,$ 0.5,2 on sale
Autographed Apex of Measureless Ruin,$ 1.09,3 on sale
Autograph: Dmitriy 'LighTofHeaveN' Kupriyanov,$ 0.18,3 on sale
Autograph: Travis 'Maut' Bueno,$ 0.35,1 on sale
Inscribed Empowered,$ 1.57,1 on sale
Auspicious Snowball Stinger,$ 3.14,1 on sale
Inscribed Talons of the Urushin Huntsman,$ 0.37,5 on sale
Inscribed Vambraces of the Battle Caster,$ 1.57,1 on sale
Corrupted Golden Greevil,$ 7.86,1 on sale
Golden International 2015 Autograph: Goblak,$ 8.65,1 on sale
Autographed Greater Twin Blade,$ 1.4,2 on sale
Frozen Lyralei's Breeze,$ 0.77,4 on sale
Autographed Jade Talon,$ 0.94,6 on sale
Inscribed Riftshadow Roamer's Fine n' Fancy,$ 0.78,3 on sale
International 2016 Autograph: Daryl Koh 'iceiceice' Pei Xiang,$ 9.76,2 on sale
International 2015 Autograph: Zhang 'LaNm' Zhicheng,$ 1.62,3 on sale
International 2015 Autograph: Ken 'Hot_Bid' Chen,$ 4.7,3 on sale
Heroic Emblazoned Arm of Delicacies of Butchery,$ 0.51,2 on sale
Inscribed The Dragon's Soul,$ 3.14,2 on sale
Inscribed Hellsworn Construct,$ 6.21,2 on sale
Inscribed Armor of Malice,$ 0.79,1 on sale
Inscribed Hammer of the World Splitter,$ 0.24,3 on sale
Inscribed Marauder's Armor,$ 0.31,1 on sale
joinDOTA MLG Pro League Season 2,$ 0.24,1 on sale
Auspicious Meat Dragger,$ 4.31,1 on sale
Corrupted Chaos Fulcrum,$ 4.4,2 on sale
Inscribed Hood of the Warhawk Vestiments,$ 0.31,1 on sale
Autographed Lighted Scepter of Serendipity,$ 0.59,2 on sale
Autographed Araceae's Tribute Skirt,$ 2.36,1 on sale
International 2016 Autograph: Yaroslav 'NS' Kuznetsov,$ 0.28,1 on sale
Heroic Large Elemental Ice,$ 3.93,1 on sale
Autograph: Ziedrich,$ 0.22,2 on sale
Team Pennant: MUFC,$ 0.2,3 on sale
Golden International 2015 Autograph: 董灿,$ 3.9,1 on sale
Inscribed Staff of the Cruel Magician,$ 1.57,1 on sale
Inscribed Back of the Master Weaver,$ 1.52,2 on sale
Inscribed Evergreen Stalker,$ 0.37,3 on sale
Guards of Heavenly Light,$ 1.26,1 on sale
Corrupted Mask of Mortis,$ 3.62,6 on sale
Inscribed Belt of the Forgotten Plane,$ 0.75,1 on sale
Inscribed Bracers of the Honored Servant of the Empire,$ 0.64,3 on sale
Inscribed Bane of the Deathstalkers - Weapon,$ 2.76,1 on sale
Corrupted Progenitor's Bane,$ 3.6,4 on sale
Corrupted Glaive of Oscilla,$ 7.55,1 on sale
Cursed Small Elemental Ice,$ 1.26,1 on sale
Shambling Trickster Belt,$ 1.56,3 on sale
Inscribed Sleeves of the Glacial Magnolia,$ 2.44,1 on sale
Autographed Blade of the Sacrosanct,$ 5.19,1 on sale
Inscribed Pauldron of the Forgotten Plane,$ 0.93,2 on sale
Autographed Formed Alloy Blades,$ 0.94,1 on sale
Cursed Winged Paladin's Helm,$ 4.8,2 on sale
Baleful Hollow,$ 1.33,14 on sale
Inscribed Patterns of the Pristine Eidelons,$ 2.64,1 on sale
Inscribed Powdersled Rookery Sled,$ 1.55,2 on sale
Inscribed Collar of the Mage Slayer,$ 2.64,1 on sale
Treasure of the Malignant Amanita,$ 4.3,2 on sale
Genuine Pin: Invoker,$ 4.7,2 on sale
Armor of the Iron Clock Knight,$ 5.5,2 on sale
Corrupted Grievous Ingots,$ 4.32,2 on sale
Autographed Crescent Bow,$ 2.36,1 on sale
Autographed A Bit of Boat,$ 0.94,2 on sale
Drowned Horseman,$ 3.59,3 on sale
Autographed Trappings of Golden Nirvana,$ 0.93,4 on sale
Inscribed Crown of the Rime Lord,$ 0.78,2 on sale
Heroic Snowdrop Staff,$ 0.28,4 on sale
Inscribed Head of Harvest's Hound,$ 0.3,2 on sale
Cursed Wolfhound Rifle,$ 0.23,1 on sale
Team Pennant: Complexity,$ 0.24,2 on sale
Inscribed Visage of the Ivory Isles,$ 0.79,2 on sale
Inscribed Hat of The Howling Wolf,$ 0.45,3 on sale
Autographed Wings of the Obsidian Nightmare,$ 2.96,1 on sale
Inscribed Pauldrons of the Gwimyeon Warrior,$ 0.44,2 on sale
Autographed Blades of the Foulfell Corruptor,$ 6.65,8 on sale
Autographed Belt of Unfettered Malevolence,$ 0.78,2 on sale
Inscribed Hare Hunt Rifle,$ 1.39,3 on sale
Inscribed Surge,$ 4.51,1 on sale
Autographed Armor of Eternal Night,$ 4.56,2 on sale
Inscribed Sword of Impending Transgressions,$ 1.57,1 on sale
Inscribed Wings of the Onyx Fume,$ 2.64,1 on sale
Inscribed Wings of the Eleven Curses,$ 2.64,1 on sale
Inscribed Infernal Pauldrons of Apocalyptic Fire,$ 0.47,1 on sale
Inscribed Belt of Eternal Fire,$ 2.64,1 on sale
Genuine The Wolf Hunter Loading Screen,$ 1.4,1 on sale
Inscribed Girdle of the Infinite Waves,$ 1.55,2 on sale
Inscribed Belt of the Grey Wastes,$ 1.02,2 on sale
Genuine Classic Pin: Shopkeeper,$ 1.46,2 on sale
Autographed Blade of the Bitterwing Legacy,$ 0.74,2 on sale
Genuine Waaagh Garb of Little Big 'Un,$ 0.16,3 on sale
Heroic Firebreather of the Voyager,$ 0.2,1 on sale
Heroic Fins of the Sea Djinn,$ 2.2,5 on sale
Frozen Announcer: Juggernaut,$ 7.11,2 on sale
Inscribed Winter Lineage Form of the Grey Ghost,$ 7.12,1 on sale
